Month,Number of Visits
1/1/2006,14763
2/1/2006,14649
3/1/2006,15085
4/1/2006,16376
5/1/2006,16926
6/1/2006,16774
7/1/2006,16490
8/1/2006,15769
9/1/2006,15180
10/1/2006,14383
11/1/2006,14478
12/1/2006,14364
1/1/2007,13928
2/1/2007,13283
3/1/2007,13700
4/1/2007,15465
5/1/2007,16243
6/1/2007,16490
7/1/2007,16243
8/1/2007,15787
9/1/2007,15446
10/1/2007,14649
11/1/2007,13776
12/1/2007,13188
1/1/2008,13283
2/1/2008,12657
3/1/2008,12979
4/1/2008,13909
5/1/2008,14535
6/1/2008,14877
7/1/2008,14858
8/1/2008,14288
9/1/2008,13947
10/1/2008,13416
11/1/2008,12903
12/1/2008,13454
1/1/2009,13491
2/1/2009,13567
3/1/2009,13397
4/1/2009,14440
5/1/2009,15161
6/1/2009,15427
7/1/2009,15693
8/1/2009,15142
9/1/2009,14763
10/1/2009,14288
11/1/2009,13074
12/1/2009,12543
1/1/2010,12239
2/1/2010,12011
3/1/2010,12827
4/1/2010,13567
5/1/2010,13548
6/1/2010,13302
7/1/2010,13188
8/1/2010,13112
9/1/2010,12827
10/1/2010,12201
11/1/2010,11917
12/1/2010,11803
1/1/2011,11157
2/1/2011,10892
3/1/2011,11120
4/1/2011,12600
5/1/2011,13283
6/1/2011,13416
7/1/2011,13340
8/1/2011,13529
9/1/2011,13776
10/1/2011,14307
11/1/2011,13852
12/1/2011,13833
1/1/2012,13169
2/1/2012,12941
3/1/2012,13188
4/1/2012,14383
5/1/2012,14763
6/1/2012,15218
7/1/2012,15161
8/1/2012,14858
9/1/2012,14156
10/1/2012,13586
11/1/2012,13150
12/1/2012,14137
1/1/2013,14231
2/1/2013,14364
3/1/2013,13833
4/1/2013,14478
5/1/2013,15009
6/1/2013,15617
7/1/2013,16148
8/1/2013,15977
9/1/2013,15142
10/1/2013,14592
11/1/2013,14364
12/1/2013,14497
1/1/2014,14554
2/1/2014,14991
3/1/2014,15863
4/1/2014,17932
5/1/2014,19184
6/1/2014,19184
7/1/2014,18956
8/1/2014,18254
9/1/2014,17514
10/1/2014,16660
11/1/2014,16338
12/1/2014,16319
1/1/2015,17457
2/1/2015,17173
3/1/2015,17856
4/1/2015,18596
